Sr.no.,Review_body,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,negative,positive,sent.val1,category_senti1,Date,Weekday,Month and Year,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18
11, bad reviews years great company issues give stars ,1,0,1,1,0,1,0,0,1,0,-0.25,Negative,27-Oct-18,Saturday,Oct-18,-1.6,0,1.2,-0.25,-1,-0.8,-0.9,-0.75,2.05,0.55,-2.9,2.1,-0.05,-0.05,2.4,-1.8,3.85,0.65,
12, updated app now since complete mess signing accessing account well done ,0,0,1,0,0,0,0,1,1,0,0.05,Positive,26-Oct-18,Friday,Oct-18,-0.6,-1.7,-2.2,0.45,1.3,2.45,0,-2.95,-1.7,1.95,-1,1.25,-1.6,-1.1,0.5,0.65,-0.75,-0.5,
13, concerned lengthy somewhat overbearing security husband experienced jeff lynnes elo gig course understand need heightened security aftermath manchester arena attack however husband submitted fairly intimate body check small bag given extensive search rather quick glance used seemed apparent cause perhaps outward appearance obviously aged disabilities reason attending gig fun nostalgic evening paid good deal money customer safety people rather spoilt tone evening start ,4,6,1,3,5,2,3,6,4,11,3.65,Positive,26-Oct-18,Friday,Oct-18,-1.7,-0.85,2.7,1,-1.7,-1.8,-0.2,-0.3,-2.7,0.3,-0.5,0.9,0,1,1.35,-0.7,-0.5,1.95,
14, giffgaff transparent provider amazing value money hey bill £ last month £ month £ month time since least may paid double agreed tarriff guys dont seem technological capacity wherewithall integrity alert customers data longer capped theyre abroad bill getting exceedingly high moving back giffgaff cheap transparant d reccomend everyone like throw money drain xx ,1,2,0,0,1,0,1,3,1,3,2.2,Positive,26-Oct-18,Friday,Oct-18,0.35,-0.75,5.8,-1,-0.95,-3.9,-0.15,1.75,4.85,5.7,-1.5,0.45,-1.05,-9.05,0.5,5.55,2.4,2.6,
15, contract cancellation requests acted upon ongoing charges even left network transferred number another provider customer service agent offering conflicting information direction regrets leaving provider please pay back money ,1,4,0,0,2,0,1,3,1,4,0.65,Positive,25-Oct-18,Thursday,Oct-18,0.15,7.85,-2.4,0.1,0.3,6.8,2.55,-0.3,-0.6,-1,0,2.1,-0.8,0,0.7,2.85,-0.15,3.55,
16, g internet worst even g compare ee ,0,0,0,0,0,0,0,0,0,0,-0.5,Negative,25-Oct-18,Thursday,Oct-18,2.15,4,1.95,-0.65,-1.75,-1.1,2.85,-0.2,1.85,3.75,-1.35,0.5,-3.8,2.6,2.55,3.45,1.65,0.05,
17, o nearly years definitely recommend anyone upgraded phone able online trouble got tariff wanted sorted insurance ordered new phone tuesday morning lunchtime next day delivery driver gave hour slot delivery wait around day impressed service stuck ,1,2,1,0,0,0,0,1,2,2,1.95,Positive,25-Oct-18,Thursday,Oct-18,2.15,3.5,4.3,0,-1,0.75,2.25,1.6,-2.85,3.3,2.9,4.6,0.75,-3.5,-1.5,-1,-0.15,2.4,
18, charged £ roaming told going abroad money got swiped account phone hours say  t refund straight away £ knocked £ month contract almost years see money joke ,1,1,0,0,1,0,1,2,1,1,2.6,Positive,24-Oct-18,Wednesday,Oct-18,-1.5,-7.45,-1.5,0.05,-1.2,0.95,-0.15,-2.25,-4.25,1.7,2.2,4.55,-1.4,-0.55,4.3,-2.15,-0.9,2.5,
19, o brilliant customer serviceevery time need check change something account chat online friendly staff helpful always give best tariff discountsnice quick easyi wish companies customer service ,1,3,1,1,3,0,0,4,1,4,3.55,Positive,24-Oct-18,Wednesday,Oct-18,2.5,4.1,-1.9,-1.1,-1.5,-1.25,-0.1,1.3,0,3.7,1.75,-1.8,1.85,2.6,0.9,-0.5,-1.2,0.5,
20, worst service ever contract came end purchased sim three requested code o unlock phone put new sim wait working days code even work contacted o online request new code wait days also work now contract ended left without network phone still locked absolutely disgraceful go o ,1,2,1,0,0,0,0,0,2,1,0.05,Positive,23-Oct-18,Tuesday,Oct-18,2,-4.25,1.1,3.1,1.05,-1.6,-1.5,-2.15,-10,2.25,2.8,-0.5,3.2,1.1,4.45,0.3,5.2,-0.4,
21, found charged third party service never subscribed o willingly giving customers bank details anyone refund call tel ask refund call chargeable number refund one con leading another canceled contract went reliable provider ,0,0,0,1,1,1,0,4,1,4,2.4,Positive,23-Oct-18,Tuesday,Oct-18,0.7,3.1,0.25,2.8,-0.5,-0.15,-0.6,1.75,-4.1,1.5,1.6,2.6,-2.3,0,0.6,3.05,0.25,-2.8,
22, love o usually signal providers o bars g  s probably miles away house mast ee three vodafone o mast people say o isn t great elsewhere  s great area pleased service recommend o rural areas wales ,0,0,0,0,2,0,0,1,0,3,2.5,Positive,23-Oct-18,Tuesday,Oct-18,0.55,2.25,1,-0.15,3.6,0.5,1.45,5.1,-0.1,-0.45,-2.4,1,-5.05,0,-1,0.35,-1.1,4,
23, give ruled believe anyone phoned tell look switch network pay go woman asked much mobile data use said non costs much price put phone switch o never using tell everyone know non use give thanks taking time read ,0,4,0,0,1,0,0,1,0,1,0.5,Positive,22-Oct-18,Monday,Oct-18,-0.35,4.05,0,1.2,-2.3,-2.25,3.95,-0.2,0.6,0.25,-3.8,-6.85,-2.25,0,0.2,-1.5,-1.4,-1,
24, bother visiting o shop romford want online absolutely disgusting customer service learn lot colleagues online customer service absolutely outstanding way iphone x faulty less weeks old contract name phone sons visited shop organise replacement nothing without box proof purchase school boy error part returned shop next day box proof told anything account holder let make call shop phone make minute journey shop met staff members ashraf sim clearly prejudice towards women even look talking looked son answering questions told ordered phone online anything now anytime either occasion son visited advised find ludicrous time wasted customer years way treated store made question whether remain one saving grace online team absolutely amazing even sounded shops behaviour apologise resolved ashraf sim clearly need customer service training face face customer service accommodating customers online team wonder shops closing everything going online service met stepping shop online way ,3,3,3,2,2,1,0,5,9,7,-0.4,Negative,21-Oct-18,Sunday,Oct-18,-2.2,-2.5,-0.8,4.35,-1.25,0.7,0.1,2.4,8.33E-17,2.15,3.35,2.05,0.85,0.6,1.45,-0.55,0.85,1.15,
25, wife recently visited o store metrocentre board inside iphone stopped working month month contract apple ran diagnostics gave information needed bring o highlighting accidental damage device sales personadvisor o metrocentre incredibly rude argumentative confrontational outset unhelpful customer service  ve ever experienced told wife call o direct asked wife provide evidence fault day bought phone considering iphone wouldn t switch ask borrow stores phone ,1,2,1,1,0,2,1,2,4,6,-2.8,Negative,21-Oct-18,Sunday,Oct-18,-1.8,-1.75,1.95,-0.7,-0.75,2.65,-0.55,-0.75,2.75,0.35,3.55,-0.15,-1,4.1,3.75,2.95,-0.2,-0.4,
26, daily reminder stupid choosing o network main phone voice sms pretty good  s want use data mbits southampton city centre full g signal thought o priority sweetener doesn t work half time relies data canned responses customer service  re rude act answering phone favour  re still don t fix anything want make calls send texts o fine want use data expect helpful human beings support choose network lot probably going pay o blood money exit early already missed whatsapp messages hours o data wife giving birth got connected public wifi ,1,12,0,1,6,0,3,9,2,13,4,Positive,20-Oct-18,Saturday,Oct-18,-3.55,0.15,5.5,0.05,3.55,0.5,-3.25,-2,1.25,0.2,4.95,1.95,1.6,-0.75,-0.1,2.8,1.3,1.1,
27, diabolical internet coverage infuriates daily certainly won t going back ,1,1,1,1,0,0,0,0,1,0,-1,Negative,20-Oct-18,Saturday,Oct-18,-2.25,3.55,-1.85,-0.55,1.75,-2.2,-0.9,-2,-0.45,8,-0.75,2.55,22.25,-1.2,-2,3.55,-0.1,1.55,
28, absolutely beyond joke got clue overcharged numerous occasions agents either put phone pass colleagues clue either promise refund overcharged payments receive payments months pass continuous phone calls horrendous customer service now tell records o accounts decided contract ee touch ombudsmen regarding matter absolutely diabolical service customer service ,1,2,1,1,1,0,0,3,3,2,1.15,Positive,20-Oct-18,Saturday,Oct-18,-2,0.15,0.45,0.35,2,0.8,-3.75,0,0.9,2.1,-0.25,1.9,-0.75,-3.35,1,-0.25,3,0.45,
29, o since coz unpaid bill £ disconnect phone without msg email loyal one thing sure moment contract ends o switching network provider ,1,1,0,1,1,2,1,1,2,1,-0.4,Negative,20-Oct-18,Saturday,Oct-18,3.85,-2.25,-0.35,0.2,-1.5,0.7,1.35,4.25,-0.7,4.1,3.75,1.75,1.2,-2.1,-1.35,3.4,-1.05,0.95,
30, company beyond joke customer months already experiencing issues every month seem generate bill correct month bill £p tell send via text message text find explain customer service skills rubbish hang supposed understand companies exist shall changing provider sure fit purposeincompetent kind ,0,0,1,0,1,0,0,2,2,3,1.1,Positive,19-Oct-18,Friday,Oct-18,-0.25,-0.6,0.4,-0.85,3.3,-2.95,-0.95,-1.45,-2.15,2.65,-0.45,-0.85,-1.2,-5.1,2.65,2,-2.05,-0.4,
31, due upgrade phone o retention department options person spoke simply care whether loyal customer help getting deal apart telling online kristina retention team manager manager even worst talking people customer skills felt disrespected never coming back looking pay devices take business else ,0,3,0,1,3,0,2,4,1,5,1.55,Positive,18-Oct-18,Thursday,Oct-18,3.1,1.25,1.8,1.4,-1,-3.2,-0.5,-0.9,-2,-1.65,-1.95,0,-0.3,-2.85,-0.7,3.2,-0.75,0.8,
32, o insure rubbish takes week replacement phone never phone try sell something money grabbing company ,1,1,1,0,1,0,1,2,1,2,0.45,Positive,18-Oct-18,Thursday,Oct-18,-0.1,-0.6,2.35,6.3,-0.65,0.15,-0.65,0.75,-0.85,1.35,-1.25,0.55,-0.35,-0.45,-0.25,-0.85,1.65,2.2,
33, decided take new contract o recently cheaper upgrade contacted o day took new contract requested customer service cancel old o contract transfer old phone number new contract advised possible o customer service confirmed ok instead cancel old contract transfer old number customer service person decided bar old number called nd time explain situation another customer service agent managed transfer mobile number new contract great thought problem solved check bank statement today find old contract never cancelled currently paying bills mobile phone number contacted o today rd time different agent problem requested old contract cancelled direct debit stopped money refund time advised o customer service agent cancel contract security questions available ask even though passed security checks start call told go o store try cancel contract enough cancelled direct debit informed complain department told issue resolved within weeks second direct debit also cancelled situation resolved pathetic customer service ,2,6,1,1,1,4,1,6,4,6,0.95,Positive,16-Oct-18,Tuesday,Oct-18,1.6,-1,7.4,5.05,-1.15,-3.3,1.11E-16,-2.75,0.55,0,1.9,0.65,6.95,-3.35,0.65,3.05,-1.25,-0.7,
34, stupid online service enter text code order change delivery address able track order online ,0,2,0,1,0,0,0,0,1,1,-0.4,Negative,16-Oct-18,Tuesday,Oct-18,-2.25,-1.1,1.35,-1,-1.5,-1.6,-0.2,-0.7,-2.25,0.65,-0.3,1.5,-3.2,0.85,-1.5,-2.3,1.45,-1.25,
35, customer years leave contract ends touchscreen phone stopped working phone months old advised fault phone replaced new due however initially stock investigation told sent refurbished phone phone months old asked sent new phone agreed sent refurbished phone told tough lucky got top sent old phone back saying repaired despite told initially faulty repaired made feel undervalued customer spent thousands pounds wasted hours time phone conflifting information little trust left company ,1,3,1,0,1,3,2,4,6,6,0.8,Positive,15-Oct-18,Monday,Oct-18,0,1.65,-1.9,-3.25,-8.5,1.1,-2.3,0.7,-0.75,,1.6,-3.45,-1.95,-1.55,1.55,1.95,-0.5,1.85,
36, wow spoke jasmine joke told going cut contract owing £ lol fault now say even cheaper tarriffs available swap amazingly mate sitting next works national radio changed tarriffs twice contract say try charge people calls included packages months arrow £ per bill £pm contract lol joke look website tv advertising says available new existing customers obviously pick choose worry taking contract another provider less month oh well posting every forum shoddy really regards customer satisfaction basically bossing people telling customers wrong website tv advertising proves wrong stupid lol worry gamers know purchase take anything ,2,3,2,2,1,3,1,3,9,6,2.2,Positive,15-Oct-18,Monday,Oct-18,-1.05,-2.5,3.75,-1.95,-0.55,-0.15,-4.3,-0.5,-1.75,,-2,2.35,2.5,1.75,-1.2,0.8,-1.3,0.75,
37, took brand new contract phone delivery two weeks late rang blamed delivery company day supposed come delivery company told requested back rang o claimed authority lie wait receive phone promised send back week later heard anything ring find contract cancelled take another one tried take another one asked ridiculous deposit never asked first time rang sort said pay take contract left went ee weeks later credit score tanked shocked went report found o put contract owed money bare mind never received phone money paid took months refunded correct amount touch remove credit report absolutely fake end remove still leaves credit score little lower contract never never going receive phone customer service team polite cohesion frequently lie situation told different thing every time rang found insulting apologies whole situation disgusted appalling really recommend anyone ,5,6,4,3,4,5,2,8,9,11,-0.7,Negative,15-Oct-18,Monday,Oct-18,-3.15,0.5,0.7,2.4,2.25,3.75,-0.45,1.2,-2.2,,0.55,-2.65,-0.85,4.4,1.85,-0.2,0.2,-3.1,
38, really bad customer service seem look set amount customers longstanding customers back guys called find cancellation eg didn t seem bothered leaving know bugger ,1,0,1,1,0,1,0,0,1,1,-1.25,Negative,14-Oct-18,Sunday,Oct-18,1.3,-2.25,-0.2,0.1,2.45,-1,-0.3,-0.1,-1.2,,-0.15,1.8,0.45,0.25,0.4,0.8,-0.15,-1.75,
39, absolutely appalling service changed contract phone ee given great deal handset wanting decided upgrade o account ipad pro soon placed order paying £ upfront cost £ settle existing contract informed tablet stock available different colour customer services informed need cancel order refunded place order colour paying time £ premise refund earlier charge way amazingly order placed told item also stock spoke customer services complained misleading customer advertise something stock obviously wasnt given absolute drivel stock great popular product available told happy cancel refunded take ten working days money paid account cut long story short weeks since original order refund £ upfront cost original order multitude phone calls promises refunded decided enough enough next stop ombudsmen possibly media disgusting way treat supposedly valued customer final straw promise customer service agent call back first thing yesterday morning check received refund denigrated complaint patronized response patient anyway sure anyone reading shocked hear follow call happen emailing ceo telefonica understand parent company anyone o reading assure contract paid never giving custom ,5,9,5,3,6,3,4,8,10,13,1.85,Positive,14-Oct-18,Sunday,Oct-18,1.05,-1.95,1.8,1.7,2.65,-0.4,-0.75,-2.05,5.65,,-0.45,-2.35,2.25,-3.1,-1.25,0.15,1.25,-0.65,
40, good ,0,1,0,0,1,0,1,1,0,1,0.75,Positive,14-Oct-18,Sunday,Oct-18,-1.4,1.9,0.7,-0.45,-0.8,2.75,1.65,-2.75,3.7,,,0.15,-0.75,0.6,-0.5,-2,-2.15,-0.5,
41, seriously poor answer question hang company illegally took payment bank now refuse pay back avoid guys costs next stop ombudsman ,0,1,0,1,1,0,0,2,3,2,-3.1,Negative,13-Oct-18,Saturday,Oct-18,5.3,2,2.3,1.15,-1.4,-0.9,2.25,5.05,-1.55,,,4,4.1,-1.1,0.15,-2.6,-0.75,3.7,
42, terrible online help beware thinking signing worst ever known people supervised way ,1,1,1,2,0,1,0,0,2,0,-1.75,Negative,12-Oct-18,Friday,Oct-18,-3.85,-0.75,0.65,2.4,,0,-0.45,0.5,-0.45,,,,1.4,1.5,0.55,2.65,0.5,1.8,
43, start months back bought iphone plus contract near enough £ month worked fine got number changed due unknown promotions calls number change signal data anywhere take mins google something called o time last month september told manager call hours heard times one phone call absolute waste time money ,1,5,1,2,1,0,1,2,3,2,-0.65,Negative,11-Oct-18,Thursday,Oct-18,2,0.1,0.35,-3.55,,3.45,-0.55,-7.1,-1,,,,,5.15,-1.15,1.4,3.65,3.25,
44, shocking customer serviceo contacted july offer fantastic new deal upgrade samsung s recieve samsung tablet free months later still havent received tablet rang multiple times chase first told wpuld recieve days months told actually eligable one complained agreed honour deal told play back recorded conversations salesman told one didnt much choicestill tablet two weeks rang told stock send one next day week later tablet rang complain told complaints team call back never callrang told dont know didnt one plenty stock complained told one going second hand refurbrang today asked speak complaints team told couldnt email complained harder got said wanted cancel contract told tied explained havent honoured contract havent sent tablet never call back said call pass one person next o ten years now show much value custom ,1,1,0,0,1,2,1,4,3,5,-0.5,Negative,11-Oct-18,Thursday,Oct-18,1.75,-0.05,-3.9,-1.6,,-0.65,-3.5,2.25,0.9,,,,,-3.25,-0.9,-2.4,1.6,2.9,
45, today contacted ask contract phone conversation rude telephone assistant found paying contract £ month data alone gb months paying contact using gb given indication company paying product receiving paid £ roughly past year data alone asked refund money paid telephone assistant proceeded shout phone one point hung phone put another department shouted asking money back receiving gb data paid receieved whole family loyal customers now leaving company way spoken today now ended contract advise anyone use company ,2,2,0,1,4,0,4,4,0,6,3.7,Positive,11-Oct-18,Thursday,Oct-18,,2.55,2.1,2.5,,1.25,0.75,0.7,-2.2,,,,,0.2,-2,-1.25,-0.8,0.25,
46, problem account phoned customer services lady spoke helpful explained wrong set new o bundle one dated o customer services always listened acted positively phoned excellent service ,0,0,0,1,2,1,0,3,3,3,1.8,Positive,11-Oct-18,Thursday,Oct-18,,0.65,1.75,-2,,-0.65,-1.4,-1.3,3.6,,,,,,,2.25,-0.95,4.35,
47, please note relation recent experience overseas every day service london although g coverage sometimes iffy even central london  ve returned australia took o phone instead pad intention using phone calls pre ordered australian sim use another phone landing sydney luckily noticed still inside airport roaming knowing kind scam roaming charges immediately turned thinking protected wi fi used courtesy family friends home accounts via cafes etc although wasn t always available didn t bother using phone browse check mail yet still found data usage climbing seems roaming also mobile data must turned granted extra charges £ o verify accurate even though data usage seemed climb thank god switch roaming mobile dataperhaps  s age ignorance last thing imagined uk service provider o suddenly appear australia telstra bt equivalent miles away clue sorry long explanation reason warn anyone possible frightening consequences travelling ending bill much entire cost trip £ easily £ o consultant advised morning charges accurate offered good given low amount declined leaves wondering many caught  m stupid ,0,10,0,2,4,0,4,10,6,12,3.25,Positive,10-Oct-18,Wednesday,Oct-18,,-2.75,-0.15,-2.8,,2.4,-2.5,2.1,-3.45,,,,,,,0.45,-3.1,-0.4,
48, bought samsung watch online next day delivery watch never arrived nearly month later many hours phone promises refund o still owe £ really care ,0,2,0,1,0,0,0,0,0,1,2.9,Positive,09-Oct-18,Tuesday,Oct-18,,-1.35,-2.5,1.3,,1.5,-2.95,-0.5,-1.5,,,,,,,-0.75,-0.6,5.05,
49, garbage customer service plan purchased plan international roaming called o numerous times tried data work solution use wifi point getting plan work refuse give supervisor talk said part contract tell referring contract said search also blamed network toronto new york saying must two weeks doubt long friends bought sim cards north america roaming ee issues either way ee much better means aspects ,0,3,1,1,0,1,0,1,3,3,0.25,Positive,07-Oct-18,Sunday,Oct-18,,0.55,0.6,,,2.4,-1.45,-1.85,-2.05,,,,,,,0.6,-0.75,-0.7,
50, starting new o contract best block direct bills mobile premium bar international bar start always remove bars later calling customer service new contract upgrade october now set spend cap £ protect unexpected bills always change calling customer service people form quite understand contract means agreeing pay monthly charge years plus extras charges must pay time guarantee afford years sign use pay go excuses please look phone insure years long time paying something broken stolen used o cellnet ee tmobile orange tesco virgin vodafone three years find now easier buy phone outright look sim deals easy change network pac code number changes next working day automatically cancels existing contract ,3,8,0,4,2,2,1,6,4,10,4.35,Positive,07-Oct-18,Sunday,Oct-18,,2.65,-2.75,,,-0.4,-1.25,-4.2,-1.6,,,,,,,-1.1,2.8,-1.2,
51, currently charged pounds per week o service lasevia limited saying lasevia limited rd party billing account never signed service asked cancel service credit charges says await lasevia limited contact far charged pounds since april customer service person nabeela assist ,1,1,0,0,0,2,0,3,2,4,-0.4,Negative,06-Oct-18,Saturday,Oct-18,,3.1,-1.35,,,-0.65,1.25,2.8,-4.65,,,,,,,-0.4,1.3,1.85,
52, best service ever mobile phone store ee years found staff store unhelpful unwilling fix anything unless meant selling something new opposite o success ee went store chapel street southport willing help without hard sell commit day went back since amazing help anna ken jo always friendly willing go way prices better ee knowledge expertise far exceeds competition never awful wait time makes reluctant even go mobile phone store help overall complete winner purchased brand phone going go s really looking great camera winner delighted phone ,1,9,1,2,5,1,2,3,4,9,5.05,Positive,06-Oct-18,Saturday,Oct-18,,,2.4,,,,2.9,-0.85,-2,,,,,,,2.15,-1.55,0.15,
53, spoke consultant anne retentions team overcharged last month asked better deals going poor quality service asked better deals upgrade deals expensive compared phone companies anne seem bothered keeping customers actually said vodafone embarrassing basically sent vodafone without even trying got pac code leftvodafone hand amazing customer service ,0,0,0,0,0,0,0,1,2,1,-0.7,Negative,06-Oct-18,Saturday,Oct-18,,,-5.95,,,,-0.75,-0.1,-0.4,,,,,,,-0.1,-0.35,4.25,
54, insurance awful company repeatedly say booked collection certain day kept postponing waited ages also find postponed send date one booked online repeated phone calls ended waiting weeks still waiting replacement phone incompetent staff diabolical system o use better insurance company imbeciles ,3,1,2,2,0,2,0,2,4,0,-1.2,Negative,06-Oct-18,Saturday,Oct-18,,,3.4,,,,-1.75,-3.45,,,,,,,,1.1,-1.35,-1.3,
55, shocked roaming charges incurred serbia arrived hadn t used phone hardly however floor manager vinod o live chat helpful gave great customer service asset team thanks help vinod fufuuafufuud ,0,0,0,0,1,0,0,2,0,2,1.85,Positive,05-Oct-18,Friday,Oct-18,,,,,,,-5,0.6,,,,,,,,-0.1,-1.75,0.4,
56, good company practical prices iphones looking returning new contract recently moved ee greedy antics new iphones vulgar£ new iphone gb data use anyone ee sites towards internet forget offer overpriced contracts dish gb data obscene ashamed o nothin helpful gb data free calls free texts best ee ,1,2,5,0,2,2,1,3,7,3,0.15,Positive,04-Oct-18,Thursday,Oct-18,,,,,,,,0.4,,,,,,,,0.85,0.6,7,
57, dropping s decided claim insurance admit brilliant asked questions phone arranged collect next day confimed day later recieved hours later recived email confirm new phone next day super fast service great customer service thanks ,0,1,0,0,1,0,0,1,0,2,4.25,Positive,04-Oct-18,Thursday,Oct-18,,,,,,,,-1.15,,,,,,,,-1.3,-1.5,0.35,
58, spent hour trying pac code switch services via online chat service greeted delays switched offices asked switching several times long delays responding final delay tactic incorrectly enter phone number tell given incorrect one correct number thread basis service request must really bored paid connect minute mumbai finally produced pac number glad leaving ee hand provided quickly professionally phone call took minutes ,1,3,2,1,2,1,1,1,3,2,-1.3,Negative,04-Oct-18,Thursday,Oct-18,,,,,,,,,,,,,,,,-0.5,-2.65,0.85,
59, absolutely appauling service lost £ phone night fully covered insurance apparently providing £ phone £ phone discontinued acceptable equivalent equivalent based spec value phone told man phones dont go spec days pay brand name rather spec hense apple phones expensive point pretty irrelevant tbh soon shut finally decided try something tolld ive signed contract £ phone longer provide goods im paying thats problem part need sorted phone near value one lost anyway couldnt much customer relations going back days yes days theyre going leave waiting five days whilst still paying phone bill longer phone ive already told theyll back never doubt time take advice never take insurance o absolute con loads little catches comes dealing customer services especially complaints pass around departments one wants deal definitely advise taking insurance elsewhere ,0,6,1,2,5,4,3,10,5,12,0.4,Positive,03-Oct-18,Wednesday,Oct-18,,,,,,,,,,,,,,,,-1,-0.75,-0.75,
60, continually surprised efficiency o customer service also insure team like extend thanks phone got stolen saturday second time year absolutely brilliant resolving extremely quickly everyone spoke phone kind compassionate sorted incredible speedyes find o average terms price however honestly think worth companies customer service lacks absolutely reasons o years continue thank o ,1,3,0,0,2,0,1,5,2,9,7,Positive,03-Oct-18,Wednesday,Oct-18,,,,,,,,,,,,,,,,,-1.2,2.45,
61, live heathfield tn sussex area don t bother using o years told reason able send make calls phone mast fix date spent year trying sort switched ee now good signal ,0,2,0,0,1,0,1,3,3,3,0.35,Positive,03-Oct-18,Wednesday,Oct-18,,,,,,,,,,,,,,,,,0.2,,
62, limited g coverage central london surrounding areas vodafone much bettero priority makes worthwhile ,1,0,0,0,0,1,0,0,1,0,0.85,Positive,03-Oct-18,Wednesday,Oct-18,,,,,,,,,,,,,,,,,,,
