Sr.no.,Review_body,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,negative,positive,sent.val1,category_senti1,Date,Weekday,Month and Year,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18
11, worst company ever come across took phone contract phone march receive phone register advised record contract details return phone cancelling contract bought phone else day pay go different network stupidly thought end dealings company wrong months later debt collection company chasing advising u owe vodaphone £s long story short came across details contract july starting blking julyct even though phone returned contract cancelled every day customer service guy tell call back resolve went feb numerous debt collectors contacting told whole story everytime vodaphone failing close account zero debt remove credit rating snapped started legal proceedings offered £ compensation account closed mark removed accepted took phone calls months recieved money credit mark removed never ,4,7,0,3,2,4,1,8,6,6,-2.6,Negative,02-Nov-18,Friday,Nov-18,,,,,-1,0.6,-0.65,0.7,3.7,3,-1.95,1.25,6.1,-3.25,-4,-1.25,0.3,-2.3,-2.6
12, many years current upgrade offers rubbish compated companies going upgrade via another supplier like carphone warehouse still vod network however whether try upgrade go full new contract company contract vod fully th december blocking told credit check problem practically perfect credit rating happy offer upgrade direct though fact vod network works live never use ,1,3,1,2,2,2,0,5,3,6,1.95,Positive,02-Nov-18,Friday,Nov-18,,,,,-2.9,2.55,2.85,-0.25,-0.1,1.2,3.2,-0.95,-0.35,-1.5,-2.25,0.45,0.3,-0.2,1.95
13, still one got back spotify stopped month early glad free ,0,1,0,0,1,0,0,0,0,1,0.85,Positive,02-Nov-18,Friday,Nov-18,,,,,0.8,2.95,0.7,1.3,-0.75,-1.85,-3.7,-2.7,-4.25,10.25,0.45,-2.25,1.25,-0.35,0.85
14, watching martin lewis gmb thought sign broadband said £ month plus £ voucher amazon signed price comparison site logged topcashback price quoted £ mention £ voucher decided proceed anyway added unlimited uk mobile calls £ per month total £ per month registered filled everything got direct debit page missed addon asked sign £ month tried calling number options anyone wanting sign existing customers exited website got email asking like complete order link contact us clicked link live chat waited minutes something happen nothing abandoned efforts telecoms company website working correctly bode well ,1,4,0,1,0,2,0,2,3,3,2.25,Positive,02-Nov-18,Friday,Nov-18,,,,,0.35,-1,-2.35,0.2,-2.5,-3.85,-2.05,2.55,-1.9,-0.5,1.6,-2.65,2.9,1,2.25
15, contract another company taken efficiently handled prompt change service pac code final invoice sent phone calls company well handled end switch called make sure everything order well done ,0,1,0,1,0,0,0,1,1,0,2.4,Positive,02-Nov-18,Friday,Nov-18,,,,,-2.2,0.55,0.85,-3.6,0.8,-0.2,0.15,-5.8,-3.95,2.5,-2.25,-3.75,0.55,2.55,2.4
16, using since named orange mobile networks best now days quality service network worst unfortunately switch mobile network company now ,0,2,0,0,0,0,0,0,0,0,-1,Negative,02-Nov-18,Friday,Nov-18,,,,,-0.35,1.85,-2,-2.1,-0.75,-1.7,0.2,0.4,-3,-2.75,-0.25,7.15,2.75,-1.65,-1
17, day last day contract thank god cant even bothered write trouble company need know going issues half year yesss half years hope rot hell freeeeeeeee last way nice move turning sim card even make call utter utter shambles network provider ,1,3,2,3,2,2,1,2,3,2,-1.55,Negative,01-Nov-18,Thursday,Nov-18,,,,,0.3,4.9,1.1,-1.3,-1.5,-1.65,-1.55,1,0.55,-0.4,-0.75,3.45,-2.15,-1.9,-1.55
18, days already wrongly charged twice ,1,0,0,1,0,1,0,0,1,0,-0.5,Negative,01-Nov-18,Thursday,Nov-18,,,,,-2.85,-1.35,-5,-0.75,-4.25,-3.25,-0.25,-3.4,-0.9,-7.25,-0.25,2.15,-0.5,-0.5,-0.5
19, fantastic reception north wales everyone always helpful turkey couldn t use data went live chat airport using wifi within mins live chat data working found data cap makes laugh kind fault amazing pay £ gb  re data may unlimited like three offer chance cap data avoid overspending great job ,0,3,0,1,5,1,2,5,2,9,4.6,Positive,01-Nov-18,Thursday,Nov-18,,,,,-1.85,0,0.15,-3.3,-3.45,-1.7,-0.5,0.75,0.75,-1.2,-0.6,-0.95,-0.35,-2.65,4.6
20, pathetic service ever used make false promises customers network issues since last months change network registered port request well completely led astray saying please port postpaid plan network issues resolved  ll red entertainment plan originally costs rs agreed now postpaid network got activated got know given discount neither network issues resolved strongly recommend never go network ,0,3,1,2,1,1,1,3,2,5,4.25,Positive,01-Nov-18,Thursday,Nov-18,,,,,0.15,-2.05,3.2,2.85,-0.05,1.6,-0.75,4.35,-1.35,-0.5,0.2,-0.75,3.3,0.85,4.25
21, okay okay people bad experiences bad experience say like ee o others gb outrageous monthly prices three mobile offers unlimited data e eat data less kinda shocking surprised increased data allowanceslike others enough sometimes bill £ month need data job go ridiculous quite honest ,3,1,3,2,1,2,2,1,2,4,-0.45,Negative,01-Nov-18,Thursday,Nov-18,,,,,-1.75,-0.15,4.9,0.35,-1.15,-2.45,-3.35,-0.7,-1.5,1.8,0.15,3.6,0.5,-1.8,-0.45
22, took year contract years ago months contract wifi fitted home kept going data costing £ month months using internet connected wifi expected monthly bill lower instead informed £ rang question past pillar post people dealt customer service speak good english language someone finally explained situation told   phone data overrides wifi  absolutely baffled tried say bought phone data roaming must never turned didn t really understand therefore connected wifi home actually charging data unfortunately spent rest contract paying large bill thought end earlier year years contract ended received letter financial company saying outstanding bill almost £ didn t pay take court end ccj angry baffled sure paid definitely left phone contract still owing £ also questioned surely still owed money account allowed end contract paid decided bothered pursuing almost finishing paying  outstanding bill  years ago however never take contract recommend anyone know ,4,9,3,2,5,2,3,7,5,10,0.15,Positive,01-Nov-18,Thursday,Nov-18,,,,,-1.9,1.05,-0.7,0.65,5.3,-3.35,-4.5,1.65,0.8,-1.65,2.85,0.6,1.25,0.15,0.15
23, visited america charged £ single text got home told roam plan said signed wanted told refunded £ bill createdguess month numerous contacts customer service still waiting wait contract january leave awful company ,1,2,1,1,0,2,1,0,3,1,-0.45,Negative,01-Nov-18,Thursday,Nov-18,,,,,-2.05,-0.25,3.3,-0.4,-2.45,2.5,-0.1,0.25,-0.2,2.15,4.95,-2.55,-0.1,1.1,-0.45
24, contact customer support times every time got great support far got good connection however wish offer gb enough ,0,2,0,0,1,0,1,1,0,4,2.8,Positive,31-Oct-18,Wednesday,Oct-18,,,,,0.4,-0.5,-0.8,3.9,1,2.6,-3.4,-1.2,-0.65,-0.25,0.7,1.6,3.5,-0.4,
25, still waiting forour phone now say stock pay £ amonthth joke ,0,1,0,0,1,0,0,1,1,1,0.5,Positive,31-Oct-18,Wednesday,Oct-18,,,,,0.35,-0.8,-0.05,-4.9,-0.75,-1.3,-1.9,-1.55,-0.5,0.95,0.8,1.15,0.05,0.5,
26, almost impossible reach poor service tried calling working try later thanks also website terrible want online chat busy apparently waiting lets see long takes resolve issue great seem care customer loyalty incredible ,1,1,1,1,0,2,0,1,2,3,2.15,Positive,31-Oct-18,Wednesday,Oct-18,,,,,1.45,-2.55,-0.9,0.75,-2.1,-0.5,-1.25,-1.85,1.7,-1.1,-0.5,-0.5,0,-1.75,
27, never experienced abusive manipulative customer service moved abroad recently changed contract pay go option contact serve needs anymore pushed agents change persisted contract finished started getting emails changes done apparently requested none ever requested also deactivated phone number even though made sure avoid customer years ended ,0,1,0,2,1,0,0,3,2,5,-0.2,Negative,31-Oct-18,Wednesday,Oct-18,,,,,-0.75,-0.15,3.15,-2.1,0.9,-0.2,-0.5,-0.9,-2.1,0.7,4.8,-0.05,0.1,-3.75,
28, process leaving many many yearstried upgrade package given new contract instead upgrade change store return lose deal signed talking customer service team said speak upgrade team back didn t called  special offer loyal customer  awful expensive attempt service recovery left feeling angry wishing  d spoken anyway pac code ready try someone new ,4,5,4,5,4,3,4,4,4,8,3.05,Positive,30-Oct-18,Tuesday,Oct-18,,,,,-0.7,-0.75,0,-3.15,1.8,0,2.5,1.7,0.45,-1.25,0.15,-0.5,-2.55,-0.55,
29, years year complaints year renewed contract assured able use phone visits abroad year made several visits store level tech reboot still wont work abroad now gone o phone work abroad despite fault breach contract want pay £ even emailed chief executive email went straight complaints people still anywhere given stars touch bagre pole ,0,3,0,0,1,1,0,3,2,4,-0.05,Negative,30-Oct-18,Tuesday,Oct-18,,,,,2.5,-0.45,-1.45,1.35,-2.7,0.4,4.75,-0.65,-0.85,3.75,-2.9,0,-1.75,-1.65,
30, opportunity leave less star ordered new phone delivered certain day hours dpd stated dpd driver proceeded try deliver empty house sale signs garden spent minutes phone trying sort said delivered today driver arrived said lo behold trys deliver empty house even address contacted hour tells due error said empty house pick dpds nearest delivery point asked complaints department guy transfers customer services site complaints department needless say picking phone wherever indeed promptly changing suppliers customer care shocking ,0,3,0,0,2,2,1,1,3,6,1.8,Positive,29-Oct-18,Monday,Oct-18,,,,,-0.4,3.05,5.5,-0.05,-0.5,-2.7,-1.6,1.25,-0.25,-1,-0.15,0.2,-1.85,0.55,
31, company appalling customer servicetrying contact phone total nightmere serious problems ,0,0,1,1,0,0,0,0,1,2,-0.85,Negative,29-Oct-18,Monday,Oct-18,,,,,0.1,3.95,-0.5,1.35,-0.85,-2.55,0.05,0.6,0.45,-1.75,-2.55,1.67E-16,0.3,-1.2,
32, fantastic customer service lost phone called block loyal customers let us upgrade phones early also sorted pick local store new phone day impressed big thank adam stoke trent call centre helping never problems signal g ,0,1,0,1,1,1,1,1,1,4,2.65,Positive,29-Oct-18,Monday,Oct-18,,,,,0.05,-2.65,-1,-1.4,0.75,-3.05,1.5,-3.6,0.1,5.95,2.2,-6.45,-1.6,4.5,
33, disgraceful service roaming service rubbish waste much valuable time contacting never buy ,1,1,3,0,0,0,0,0,3,1,-1.5,Negative,29-Oct-18,Monday,Oct-18,,,,,0.55,-1.5,0.25,3.05,1.45,-3.9,-0.3,0.95,-3.7,-1.75,-1.25,-0.75,-3.8,-2.25,
34, bad service use sign agree negative comments never write review worst customer service ever raised bill within st month changed data start date refuses listen customers bad bad sign ,1,1,1,1,0,2,0,0,2,2,-2.3,Negative,28-Oct-18,Sunday,Oct-18,,,,,-0.65,0.3,1.5,0.8,0.6,-0.4,-2.75,0.55,-2.8,-0.5,-0.35,2.5,-0.95,1.35,
35, changed price plan without permission wasting time c ,0,2,1,1,0,1,0,0,1,1,-0.2,Negative,28-Oct-18,Sunday,Oct-18,,,,,3.95,-2.75,0.95,-3,-0.1,1.2,-1.5,0.3,2.35,0.9,-0.65,1.1,-0.75,-0.7,
36, utterly regretful bought broadband speed awful even connect spent couple hours different advisers solved yet moreover deal bought also included free gift tried register system let said wait months gift registration besides send mail regarding free gift trusted now learnt due date gift predict shocked mail far tried contact many time regarding gift issue still response completely overwhelmed tired now buying one worst deal ever wish somebody learn mistake misery ,2,6,2,2,2,4,2,2,7,6,-0.35,Negative,28-Oct-18,Sunday,Oct-18,,,,,-0.4,-1.25,2.9,-2.6,0.85,4.65,1,-0.75,-0.15,-0.15,0.6,-1.75,-1.45,-1.7,
37, recharge online rs ph vide transaction id psm unfortunately rs credited tillnow customer care received call customer care executive happening ,0,0,0,0,0,0,0,1,0,3,1,Positive,27-Oct-18,Saturday,Oct-18,,,,,-1.75,-1.3,2.3,-0.1,-1,-2.15,-3.45,-0.15,-0.3,-0.7,-0.95,0.1,-0.3,2.65,
38, fibre broadband reliable affordable love bit bleb started ok since recommended ,0,0,0,0,1,0,0,1,0,2,2.55,Positive,27-Oct-18,Saturday,Oct-18,,,,,-1.55,-3.2,1.25,0,-1,0.5,-1.85,0.8,-5.9,-4.2,-1.85,-0.85,0.9,-1.45,
39, data sims months went gb data limit charges pounds per gb bought data sims told gb max stop working charged pounds additional data usage shocking recommend anyone use unless specifically set max data limit devise couple devises running one sim honestly charges beyond data limit day light robbery called informed nothing welcome cancel accounts wanted process ,1,0,1,1,0,2,0,2,2,2,-1.65,Negative,27-Oct-18,Saturday,Oct-18,,,,,4.95,-1.1,-2.6,-3.5,-0.4,-2.55,0.15,2.1,-3.25,0.8,-0.45,-0.65,-3.1,-0.25,
40, changed sim card old company phone apple phone locked hesitant unlock worse keep guiding wrong phone finally came store send email resultion centre may takes weeks reactplease train customer service give correct advice pls stop greedy let people leave ,0,2,2,1,1,2,2,2,4,3,-1.9,Negative,27-Oct-18,Saturday,Oct-18,,,,,0.05,-1.05,1.25,-0.65,0.2,0.6,-2.25,-1.35,-1,-1.35,-1.5,4.35,6.9,-0.75,
41, worst speed network times call connect time network ,0,2,0,0,0,0,0,0,0,0,-0.5,Negative,27-Oct-18,Saturday,Oct-18,,,,,0.75,-1.85,2.25,5,2.75,2.45,-0.6,-1.75,1.6,-0.4,1.25,-0.15,1.1,0.95,
42, trying pay balance old account originally paid rd part debt managment scheme information old account number far spoken customer advisors given diffrent balance amounts one advisor insisted calling mate asked rd party sort rd party even problems getting balance messaged twitter asked pay bill still dont know amount mobile phone impossible havent phone since overall impressions rude unprofessional unwilling help people debt entire customer service experience shamblesavoid company costs ,0,2,0,0,1,2,0,3,3,5,-2.65,Negative,27-Oct-18,Saturday,Oct-18,,,,,-1.25,-1.75,0.8,-1.25,-1.1,3.55,-2.65,0.05,0.1,-0.75,-0.6,-0.35,-13.3,-1.6,
43, trying phone ireland since october firstly sent phone label didn t give full address post rightly sent phone back  ve lied three times different customer service people promised call back several occasions call staff don t ring back now  m trying contract phone never received wait hours happen ,0,2,0,0,0,0,0,2,1,5,0.85,Positive,26-Oct-18,Friday,Oct-18,,,,,3.9,-3.5,-1.7,4.25,0.75,-0.65,2.45,-5.6,3.2,0.95,4.15,0.6,-1.5,-1.8,
44, awful serviceplaced order wednesday got confirmation employees live chat order placed got transcripts well evening called customer service told order exist make another order told phone delivered day release now told weeks now failed stock manufacturerspent hours days customer service got offered £ waived able add discount loyalty scheme now add hope wont mess going ee weekend phone instead cancel one disaster ,2,2,3,2,1,3,2,3,5,3,-1.8,Negative,26-Oct-18,Friday,Oct-18,,,,,-1.45,-3,-2.5,-1.05,-2.5,2.8,0.5,0.25,-1.25,-2.1,-1.25,-1.8,1.55,0.05,
45, rubbish utterly disgusting company take legal action hopefully learn lesson ,1,1,2,1,0,0,0,2,2,4,0.15,Positive,26-Oct-18,Friday,Oct-18,,,,,1.2,0.2,-1,-0.9,1.85,0.85,1.6,0.35,1.75,-0.5,0.15,1.15,4.25,-0.75,
46, vodaphone worth star never able certain things like send email ms outlook see date bills bills never seen phoning help prepared hours waiting dragged asked bills posted emailed see bill made say ask speak supervisor basically ignore recent wifes mother passed away lived abroad wife made extra calls abroad attempting phone doctor friend one children seriously ill number barred fact numbers barred landline including vodaphones support number discovered need pay couple hundred pounds unbar phone done without warning avoid company really nasty ,2,5,2,4,4,3,0,8,7,10,1.1,Positive,26-Oct-18,Friday,Oct-18,,,,,-1.15,-2.1,-1.45,4.75,1.25,-1,1.95,0,-3.05,1.25,-1.35,-0.95,-0.1,1.2,
47, dear authorised personnel ridiculous network service ever experienced last two months bombay india calls dropping phones ringing properly company driven standards india know degrading name brand unsatisfied customers india port different network soon complaint taken record properly uk indianamaskar dharmesh pandyafrom mumbai india ,2,2,3,1,0,2,0,2,5,2,-0.4,Negative,26-Oct-18,Friday,Oct-18,,,,,2.55,-0.1,-1,-4.15,-0.75,-1.85,-2.4,0.35,-2,-0.05,-0.35,-4.35,-2.25,-0.3,
48, got sim card spain next two weeks go various offices cities times things like able use imessage use data internet make calls doesn t even account times reboot phone called vodaphone customer service number told direct spanish office help didn t speak english ,0,1,0,0,0,0,0,2,1,1,0.5,Positive,25-Oct-18,Thursday,Oct-18,,,,,-1.75,-0.5,-2.1,4.2,0.5,-0.75,-3.85,-3.35,1.1,8.8,-1,3.7,2.2,0.6,
49, worst company ever met possible give minus five five month ago canceled broadband contract moved home canceled new area internet worked company told supply us cancel contract law free problem today still stealing milling money bank account blocked bank account began fear us illegal mobile contract agree pay balance mobile broadband ,3,3,2,4,2,3,1,5,5,5,-1.75,Negative,25-Oct-18,Thursday,Oct-18,,,,,-5.1,8.15,-1.25,-1.65,-0.45,-1.25,-1.25,2.9,0,-2.3,3.55,0.1,-4.2,-3.45,
50, reading deciding network use go others said negative stars bad come concerned lost live prevaricating time wasting abysmal customer service last one spoke now kept disappearing ask someone rounds applause background gone another provider now ,1,2,2,3,1,6,1,1,6,3,-3.75,Negative,25-Oct-18,Thursday,Oct-18,,,,,0.45,0.35,-5.6,-6.7,-1.85,-2.25,3.9,-1.85,0.95,0.65,-1.65,-1.05,-1.25,-0.4,
51, avoid like plague approx months broadband contract decided order contract phone supposedly going delivered next dayintstead following day email saying phone stock touch within days update rang cancel order assured order indeed cancelled contacting customer services several times since wanting know £ upfront cost returned account cut mid call pass around one another simply leave waiting online minutescoming back evry mins thanking waiting still getting answer end today spoke someone via chat window informed customer monies refunded end billing month coincidence happened cancelled order rd billing date therefore wait rd november money back denied cancelled th deliberately scammed keep money another month liars thieves stay well clear ,1,2,1,2,1,5,3,3,8,3,-0.55,Negative,25-Oct-18,Thursday,Oct-18,,,,,-4.2,-0.25,-0.2,5.3,2.8,1.5,2.05,-0.75,-0.75,-0.5,-1.65,-1.05,-0.2,-1.25,
52, able give minus stars still enough customer service worst ever experienced going say lie staff misinformed services dont tell truth attempting sign broadband six times failed provided new excuses order kept failing every time also blaming previous company many hours trying find issue established nothing anything advised existing company order cancelled yet still send routers called tell sent router error proceeded want go security check send bag return router told take address send said proceeded threaten taking money impacting credit rating told feel free come pick item wanted address doubt receiving routers shortly given cocked times worst company ever dealt bar none update since replied phoning reassured receive routers another turned next day reassured staff times everything order fine bag mention security check need send bag honesty person said fine account email name earth need go checks send bag ,5,6,1,4,3,5,2,8,6,9,-1.65,Negative,25-Oct-18,Thursday,Oct-18,,,,,3.8,-2,-0.5,0.45,0.3,-1.75,0.25,2.9,1.85,-0.85,0.35,0.35,1.2,1.6,
53, give company tried cancel contract finished paying th oct now telling give days notice continue paying two payments already finished paying disgraceful service advise everyone go company like scam lot money ,2,2,1,0,1,1,1,3,2,3,0.55,Positive,25-Oct-18,Thursday,Oct-18,,,,,-1,-1.5,0.5,-0.5,-0.85,3.3,0.3,5.1,-1,0.05,-3.3,-1.9,-0.45,-3.9,
54, customer since recently taken lines elsewhere network bad customer service amount mistakes billing issues totally unacceptable promise callbacks never met takes long resolve issues really disgusted bad service become ,1,2,1,2,1,2,0,1,2,2,-1.2,Negative,25-Oct-18,Thursday,Oct-18,,,,,1.95,2.55,1,0.35,-0.1,3.2,-1.8,-3.25,-1.5,1.15,1.05,-1.25,-2.35,-1.85,
55, read reviews broadband honest switch came last wednesday nothing however call thursday morning assigned technical dept giving gb mobile data free friday rang asking everything ok said ring back am sat morning cam went concerned however technical expert rang booked open reach engineer visit monday morning turned first thing within two hours sorted problem now mbs happy hopefully continue found customer service excellent occasion ,1,3,1,3,4,3,0,6,1,9,4.5,Positive,24-Oct-18,Wednesday,Oct-18,,,,,-0.5,-0.75,-1.05,2,-0.25,-1.55,0.35,3.1,-2.25,0.5,-3.4,6.25,0,1.55,
56, absolutely abysmal network shocking tell gone data limit must pay use data abroad unlike ee customer support incompetent hence constant onslaught twitter never give pillocks money ,2,3,0,0,2,2,1,3,2,4,-2.25,Negative,24-Oct-18,Wednesday,Oct-18,,,,,1.55,4.35,-1.05,0.15,-0.65,-8.55,1.4,-3.25,-1.65,-1.1,6.7,1.35,0.2,-1.7,
